Time, pos_a, pos_ref, vel_a, vel_ref, accel_a, accel_ref
206,0.097656,1.413138,0.240000,0.789289,0.501953,0.659147
207,0.097656,1.419435,0.240000,0.793067,0.469727,0.663681
208,0.097656,1.425723,0.240000,0.796840,0.536133,0.668209
209,0.097656,1.432004,0.240000,0.800609,0.538086,0.672731
210,0.097656,1.438277,0.240000,0.804372,0.511719,0.677247
211,0.097656,1.444541,0.240000,0.808131,0.508789,0.681757
212,0.097656,1.450797,0.240000,0.811885,0.531250,0.686262
213,0.097656,1.457045,0.240000,0.815633,0.516602,0.690760
214,0.097656,1.463285,0.240000,0.819377,0.534180,0.695253
215,0.097656,1.469516,0.240000,0.823116,0.575195,0.699740
216,0.097656,1.475739,0.240000,0.826850,0.520508,0.704220
217,0.097656,1.481954,0.240000,0.830579,0.507812,0.708695
218,0.097656,1.488160,0.240000,0.834302,0.533203,0.713163
219,0.097656,1.494358,0.240000,0.838021,0.561523,0.717626
220,0.097656,1.500548,0.240000,0.841735,0.568359,0.722082
221,0.097656,1.506728,0.240000,0.845443,0.451172,0.726532
222,0.097656,1.512901,0.240000,0.849147,0.486328,0.730976
223,0.097656,1.519065,0.240000,0.852845,0.450195,0.735414
224,0.097656,1.525220,0.240000,0.856538,0.577148,0.739846
225,0.097656,1.531366,0.240000,0.860226,0.532227,0.744271
226,0.097656,1.537504,0.240000,0.863909,0.432617,0.748691
227,0.097656,1.543633,0.240000,0.867586,0.474609,0.753104
228,0.097656,1.549754,0.240000,0.871258,0.471680,0.757510
229,0.117188,1.555865,0.299999,0.863207,0.488281,0.675849
230,0.117188,1.561968,0.299999,0.866868,0.432617,0.680243
231,0.117188,1.568062,0.299999,0.870525,0.433594,0.684631
232,0.117188,1.574147,0.299999,0.874176,0.468750,0.689012
233,0.117188,1.580223,0.299999,0.877821,0.566406,0.693386
234,0.117188,1.586290,0.299999,0.881461,0.548828,0.697755
235,0.117188,1.592348,0.299999,0.885096,0.485352,0.702117
236,0.117188,1.598397,0.299999,0.888726,0.492188,0.706472
237,0.117188,1.604437,0.299999,0.892350,0.545898,0.710821
238,0.117188,1.610468,0.299999,0.895968,0.571289,0.715163
239,0.117188,1.616490,0.299999,0.899581,0.451172,0.719499
240,0.117188,1.622503,0.299999,0.903189,0.545898,0.723828
241,0.117188,1.628506,0.299999,0.906791,0.592773,0.728150
242,0.117188,1.634500,0.299999,0.910388,0.588867,0.732466
243,0.117188,1.640485,0.299999,0.913979,0.517578,0.736775
244,0.117188,1.646461,0.299999,0.917564,0.500000,0.741078
245,0.117188,1.652427,0.299999,0.921144,0.526367,0.745374
246,0.117188,1.658384,0.299999,0.924718,0.494141,0.749663
247,0.117188,1.664332,0.299999,0.928287,0.522461,0.753945
248,0.117188,1.670270,0.299999,0.931850,0.558594,0.758220
249,0.117188,1.676199,0.299999,0.935407,0.501953,0.762489
250,0.117188,1.682118,0.299999,0.938958,0.442383,0.766751
251,0.117188,1.688027,0.299999,0.942504,0.504883,0.771006
252,0.117188,1.693928,0.299999,0.946044,0.559570,0.775254
253,0.117188,1.699818,0.299999,0.949578,0.477539,0.779495
254,0.117188,1.705699,0.299999,0.953107,0.523438,0.783729
255,0.156250,1.711570,0.349998,0.933192,0.617188,0.699832
256,0.156250,1.717431,0.349998,0.936709,0.457031,0.704052
257,0.156250,1.723283,0.349998,0.940220,0.533203,0.708266
258,0.156250,1.729125,0.349998,0.943725,0.466797,0.712472
259,0.156250,1.734957,0.349998,0.947224,0.644531,0.716671
260,0.156250,1.740779,0.349998,0.950718,0.619141,0.720863
261,0.156250,1.746592,0.349998,0.954205,0.520508,0.725048
262,0.156250,1.752394,0.349998,0.957687,0.646484,0.729226
263,0.156250,1.758187,0.349998,0.961162,0.506836,0.733397
264,0.156250,1.763970,0.349998,0.964632,0.616211,0.737560
265,0.156250,1.769742,0.349998,0.968095,0.524414,0.741716
266,0.156250,1.775505,0.349998,0.971553,0.546875,0.745865
267,0.156250,1.781257,0.349998,0.975004,0.563477,0.750007
268,0.156250,1.787000,0.349998,0.978450,0.606445,0.754142
269,0.156250,1.792732,0.349998,0.981889,0.493164,0.758269
270,0.156250,1.798454,0.349998,0.985322,0.537109,0.762389
271,0.156250,1.804166,0.349998,0.988750,0.549805,0.766501
272,0.156250,1.809868,0.349998,0.992171,0.582031,0.770607
273,0.156250,1.815559,0.349998,0.995586,0.636719,0.774704
274,0.156250,1.821240,0.349998,0.998994,0.621094,0.778795
275,0.156250,1.826911,0.349998,1.002397,0.537109,0.782878
276,0.156250,1.832572,0.349998,1.005793,0.550781,0.786954
277,0.156250,1.838222,0.349998,1.009183,0.486328,0.791022
278,0.156250,1.843862,0.349998,1.012567,0.473633,0.795082
279,0.156250,1.849491,0.349998,1.015944,0.513672,0.799135
280,0.187500,1.855109,0.419998,1.000566,0.535156,0.696681
281,0.187500,1.860718,0.419998,1.003931,0.446289,0.700719
282,0.187500,1.866315,0.419998,1.007289,0.507812,0.704749
283,0.187500,1.871902,0.419998,1.010642,0.607422,0.708772
284,0.187500,1.877479,0.419998,1.013987,0.478516,0.712787
285,0.187500,1.883045,0.419998,1.017327,0.586914,0.716794
286,0.187500,1.888600,0.419998,1.020660,0.505859,0.720794
287,0.187500,1.894144,0.419998,1.023987,0.547852,0.724786
288,0.187500,1.899678,0.419998,1.027307,0.438477,0.728770
289,0.187500,1.905201,0.419998,1.030621,0.583008,0.732747
290,0.187500,1.910713,0.419998,1.033928,0.513672,0.736716
291,0.187500,1.916214,0.419998,1.037229,0.450195,0.740677
